2025-06-24 18:22:48,646 INFO    MainThread:1447088 [wandb_setup.py:_flush():68] Current SDK version is 0.19.10
2025-06-24 18:22:48,647 INFO    MainThread:1447088 [wandb_setup.py:_flush():68] Configure stats pid to 1447088
2025-06-24 18:22:48,647 INFO    MainThread:1447088 [wandb_setup.py:_flush():68] Loading settings from /home/leena/.config/wandb/settings
2025-06-24 18:22:48,647 INFO    MainThread:1447088 [wandb_setup.py:_flush():68] Loading settings from /home/leena/ccc_eval/mcts_prm/PRMDataset/wandb/settings
2025-06-24 18:22:48,647 INFO    MainThread:1447088 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-06-24 18:22:48,647 INFO    MainThread:1447088 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /home/leena/ccc_eval/mcts_prm/PRMDataset/wandb/run-20250624_182248-urcxucc4/logs/debug.log
2025-06-24 18:22:48,647 INFO    MainThread:1447088 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /home/leena/ccc_eval/mcts_prm/PRMDataset/wandb/run-20250624_182248-urcxucc4/logs/debug-internal.log
2025-06-24 18:22:48,648 INFO    MainThread:1447088 [wandb_init.py:init():852] calling init triggers
2025-06-24 18:22:48,648 INFO    MainThread:1447088 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-06-24 18:22:48,648 INFO    MainThread:1447088 [wandb_init.py:init():893] starting backend
2025-06-24 18:22:48,648 INFO    MainThread:1447088 [wandb_init.py:init():897] sending inform_init request
2025-06-24 18:22:48,657 INFO    MainThread:1447088 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-06-24 18:22:48,657 INFO    MainThread:1447088 [wandb_init.py:init():907] backend started and connected
2025-06-24 18:22:48,661 INFO    MainThread:1447088 [wandb_init.py:init():1002] updated telemetry
2025-06-24 18:22:48,671 INFO    MainThread:1447088 [wandb_init.py:init():1026] communicating run to backend with 90.0 second timeout
2025-06-24 18:22:49,548 INFO    MainThread:1447088 [wandb_init.py:init():1101] starting run threads in backend
2025-06-24 18:22:49,687 INFO    MainThread:1447088 [wandb_run.py:_console_start():2566] atexit reg
2025-06-24 18:22:49,688 INFO    MainThread:1447088 [wandb_run.py:_redirect():2414] redirect: wrap_raw
2025-06-24 18:22:49,688 INFO    MainThread:1447088 [wandb_run.py:_redirect():2483] Wrapping output streams.
2025-06-24 18:22:49,688 INFO    MainThread:1447088 [wandb_run.py:_redirect():2506] Redirects installed.
2025-06-24 18:22:49,689 INFO    MainThread:1447088 [wandb_init.py:init():1147] run started, returning control to user process
2025-06-24 18:38:16,708 INFO    MsgRouterThr:1447088 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
